ink_iron_ratio,parchment_density,carbon_14_ratio,scribal_pressure_var,pigment_layer_count,uv_fluorescence_idx,linguistic_anachronism_score,vellum_thickness_mm,is_authentic
0.72,1.011,0.9237,36.9,4,0.786,5.74,0.233,0
0.921,0.358,0.9412,83.4,1,0.075,1.55,0.505,0
0.343,0.529,0.8749,41.9,3,0.203,8.09,0.38,0
0.383,0.507,0.8541,81.0,7,0.91,8.99,0.463,0
0.473,1.187,1.0488,47.0,1,0.572,2.92,0.57,0
0.221,0.935,1.0253,33.1,7,0.458,1.64,0.528,0
0.167,0.856,1.0325,82.1,4,0.748,4.1,0.491,0
0.478,0.304,0.9069,54.9,5,0.903,8.82,0.245,0
0.254,0.466,0.894,38.8,7,0.263,4.0,0.127,0
0.653,0.872,0.9352,13.6,2,0.901,1.08,0.387,0
0.443,0.642,0.9407,18.9,7,0.109,9.85,0.117,1
0.799,1.132,0.8511,21.1,2,0.978,5.0,0.457,0
0.68,0.988,1.0059,39.2,3,0.165,3.42,0.468,0
0.331,0.703,1.0493,58.6,4,0.266,8.94,0.381,1
0.799,0.975,0.9557,34.6,5,0.097,9.27,0.184,0
0.774,1.178,0.9277,15.2,3,0.804,4.97,0.538,1
0.399,0.715,0.9286,31.2,6,0.984,3.07,0.398,0
0.309,0.878,0.8692,42.7,1,0.297,4.83,0.357,0
0.664,1.127,0.9032,89.4,5,0.326,2.19,0.384,0
0.176,0.524,0.9504,41.4,5,0.279,4.78,0.141,0
0.23,1.098,0.9364,17.1,4,0.155,2.29,0.47,1
0.057,0.388,0.959,56.5,5,0.787,6.22,0.13,0
0.758,0.884,1.0198,83.6,6,0.061,7.6,0.389,1
0.648,1.005,0.895,72.9,7,0.968,9.69,0.185,0
0.685,0.853,0.8555,76.9,2,0.927,8.43,0.204,0
0.753,0.746,0.8576,84.3,4,0.118,0.86,0.217,0
0.463,0.856,0.8768,60.9,4,0.53,2.12,0.107,0
0.562,0.436,0.9641,89.6,3,0.993,5.32,0.546,0
0.176,0.494,1.0116,12.7,7,0.853,2.58,0.502,1
0.153,0.543,1.0274,76.8,4,0.715,0.14,0.116,0
0.652,0.838,0.977,78.6,5,0.022,7.55,0.128,0
0.474,0.698,0.9306,83.3,2,0.068,3.58,0.491,0
0.559,0.52,0.8809,48.3,3,0.794,0.66,0.103,0
0.738,1.095,0.9303,73.0,5,0.376,5.09,0.334,0
0.621,0.637,0.9165,25.6,3,0.668,9.77,0.154,0
0.548,0.701,1.024,58.3,6,0.739,6.79,0.396,0
0.553,0.669,0.9473,38.7,1,0.422,1.59,0.599,0
0.324,0.464,0.8952,57.7,2,0.143,5.14,0.186,0
0.078,0.958,0.9078,64.0,3,0.387,9.02,0.578,0
0.443,0.704,0.8773,37.8,3,0.871,0.54,0.533,0
0.243,0.315,1.0337,27.3,6,0.331,6.38,0.593,0
0.418,1.168,0.8601,35.7,7,0.063,7.21,0.483,0
0.818,1.034,0.8526,63.1,4,0.959,7.04,0.528,0
0.261,0.951,0.8866,64.1,4,0.681,1.5,0.397,0
0.102,1.082,1.0122,69.3,3,0.541,9.07,0.534,0
0.303,1.116,0.9547,20.1,4,0.829,3.22,0.156,0
0.314,0.604,0.9752,75.5,5,0.411,0.52,0.471,0
0.646,0.85,0.9215,65.1,6,0.985,0.83,0.414,1
0.551,0.848,0.8637,12.4,7,0.858,4.58,0.13,0
0.756,0.541,1.0212,36.8,5,0.281,0.4,0.246,1
0.648,0.5,0.8884,47.3,3,0.371,7.8,0.208,0
0.416,0.403,0.8566,38.8,1,0.276,8.66,0.303,0
0.783,0.893,0.9645,19.4,5,0.659,0.13,0.199,1
0.2,1.003,0.8667,26.6,6,0.639,8.1,0.237,0
0.07,0.985,0.8692,12.0,4,0.523,9.81,0.248,0
0.131,0.585,1.0101,17.4,7,0.966,0.3,0.4,1
0.7,0.485,0.9483,31.3,3,0.472,7.25,0.167,0
0.466,0.708,0.8983,75.6,1,0.784,9.99,0.221,0
0.195,0.792,0.9197,52.1,5,0.658,7.97,0.259,0
0.501,1.127,0.9958,44.0,1,0.518,5.05,0.325,0
0.187,1.087,0.8633,63.0,1,0.042,8.85,0.119,0
0.677,1.124,0.8733,53.3,5,0.657,7.08,0.6,0
0.452,1.065,0.9733,20.5,4,0.643,2.92,0.25,0
0.393,1.168,0.9714,27.8,5,0.125,2.24,0.244,1
0.321,0.719,1.0445,27.8,6,0.796,5.13,0.377,0
0.617,0.343,0.9249,58.0,3,0.467,3.73,0.527,1
0.376,0.375,0.863,46.9,5,0.324,3.29,0.328,0
0.129,0.651,0.9575,41.0,4,0.824,1.78,0.224,0
0.156,0.532,0.9777,54.5,5,0.343,8.45,0.383,0
0.916,0.453,0.8779,87.6,5,0.622,7.05,0.341,0
0.868,1.158,0.9606,35.1,3,0.618,3.31,0.312,1
0.68,0.476,0.8896,51.6,4,0.053,2.38,0.592,0
0.289,1.163,1.0189,48.4,5,0.423,1.28,0.598,1
0.922,0.985,1.017,67.3,1,0.223,1.13,0.381,1
0.751,0.877,0.9359,68.4,2,0.2,6.25,0.134,0
0.695,0.908,1.0433,68.3,1,0.655,1.09,0.383,0
0.454,0.598,1.046,26.1,2,0.011,9.6,0.576,0
0.295,0.882,0.8759,45.9,4,0.969,2.79,0.563,0
0.137,0.468,0.9235,74.9,7,0.395,0.26,0.208,0
0.862,1.144,0.9701,40.5,7,0.299,8.55,0.195,1
0.46,0.572,0.867,88.7,6,0.92,3.68,0.176,0
0.232,0.53,0.9265,39.2,4,0.487,3.43,0.51,0
0.325,0.94,0.9022,49.8,2,0.614,1.19,0.345,0
0.571,0.891,1.0404,48.0,3,0.696,6.6,0.269,1
0.209,0.706,0.9323,44.7,6,0.871,3.59,0.262,0
0.821,0.869,1.0025,77.7,7,0.13,8.23,0.238,1
0.733,0.444,0.9273,22.4,7,0.082,6.31,0.541,0
0.698,0.906,0.8764,55.4,3,0.994,8.8,0.305,0
0.439,0.544,1.0226,59.5,4,0.009,6.23,0.222,0
0.615,0.546,0.8501,78.1,4,0.708,7.79,0.455,0
0.576,0.446,0.8612,58.7,1,0.611,6.97,0.418,0
0.635,0.599,0.9229,86.8,1,0.553,4.63,0.458,0
0.126,0.598,0.9874,79.8,1,0.786,6.89,0.511,0
0.424,0.709,0.9183,37.9,6,0.992,6.64,0.151,0
0.087,0.471,0.8633,78.8,2,0.047,0.07,0.101,0
0.495,0.474,0.9136,86.7,5,0.615,6.99,0.125,0
0.347,0.788,0.899,30.6,3,0.717,2.62,0.453,0
0.18,0.416,0.8511,58.8,6,0.306,5.42,0.567,0
0.143,0.92,0.957,32.5,1,0.893,1.11,0.266,0
0.579,1.15,0.8733,62.0,3,0.457,0.23,0.491,1
0.204,0.684,0.9075,17.5,2,0.164,0.15,0.465,0
0.883,1.111,0.9782,68.7,4,0.854,1.58,0.589,1
0.573,0.388,0.995,43.6,4,0.943,0.2,0.335,0
0.362,0.339,0.9027,57.0,2,0.1,1.32,0.183,0
0.582,0.949,0.9158,12.1,5,0.752,5.59,0.483,0
0.071,0.985,0.8994,65.6,7,0.215,4.0,0.509,0
0.913,1.059,1.0414,49.7,1,0.007,9.81,0.454,0
0.484,0.351,0.8881,60.0,1,0.261,8.09,0.532,0
0.754,0.999,0.8866,35.3,7,0.855,1.47,0.286,1
0.124,0.639,0.939,21.7,5,0.141,4.17,0.445,0
0.488,0.573,0.8879,44.8,7,0.131,4.31,0.232,0
0.492,0.456,0.8813,85.5,5,0.739,3.62,0.323,0
0.894,1.196,0.8692,28.2,6,0.406,4.96,0.221,1
0.565,0.357,0.978,64.1,2,0.148,6.7,0.177,0
0.476,1.044,0.9724,14.0,4,0.23,6.41,0.118,0
0.29,0.876,0.98,67.4,3,0.795,3.57,0.436,0
0.348,0.962,1.0047,29.1,6,0.623,7.05,0.538,0
0.519,0.941,0.9153,46.1,1,0.761,2.89,0.257,0
0.445,1.073,1.0337,39.4,1,0.098,8.35,0.315,0
0.069,0.465,0.9966,19.0,4,0.458,9.64,0.102,0
0.794,0.301,1.0109,37.6,7,0.797,2.95,0.306,0
0.857,0.839,0.9942,38.0,7,0.266,7.85,0.241,1
0.176,0.618,0.9217,51.8,5,0.169,8.13,0.387,0
0.549,0.411,0.9066,87.8,4,0.382,4.91,0.554,0
0.148,0.468,0.9345,47.6,2,0.333,0.88,0.353,0
0.655,0.599,0.8694,83.2,7,0.185,7.86,0.438,0
0.303,0.363,0.9403,46.9,2,0.954,4.07,0.453,0
0.643,0.351,0.8586,18.6,1,0.483,2.08,0.176,0
0.704,1.124,0.8508,28.4,4,0.608,6.27,0.273,1
0.742,0.581,1.0363,42.6,3,0.121,4.37,0.157,0
0.147,1.184,0.9879,36.0,4,0.61,0.88,0.32,1
0.874,1.168,0.9624,79.3,7,0.555,9.84,0.544,0
0.257,0.428,0.9182,64.3,2,0.932,2.45,0.34,0
0.084,0.943,0.9641,56.3,7,0.412,5.11,0.328,1
0.549,0.841,1.0283,49.3,2,0.782,6.67,0.205,0
0.384,0.922,0.9805,41.8,3,0.304,1.15,0.255,1
0.797,0.387,0.9705,59.0,1,0.579,7.39,0.568,0
0.777,0.47,0.942,20.0,5,0.927,6.48,0.251,0
0.335,0.369,0.9191,23.0,7,0.625,4.94,0.466,0
0.908,0.844,0.9897,34.2,7,0.711,5.28,0.121,1
0.312,1.188,1.0462,23.7,2,0.876,9.55,0.164,0
0.514,0.905,0.935,64.2,6,0.925,9.11,0.256,0
0.28,0.94,0.9284,12.0,1,0.208,1.12,0.551,1
0.892,1.186,0.9356,22.8,5,0.196,3.69,0.21,1
0.198,0.91,0.9351,82.2,5,0.55,5.17,0.463,0
0.09,0.336,1.0481,89.8,2,0.996,9.2,0.184,0
0.442,1.08,0.9914,49.0,1,0.49,8.17,0.406,0
0.943,0.628,0.9218,49.6,1,0.331,3.86,0.393,1
0.853,0.304,0.9243,71.9,5,0.537,8.86,0.411,0
0.724,0.757,0.9362,12.9,5,0.064,3.78,0.243,1
0.852,1.143,0.8573,44.2,1,0.177,2.71,0.181,0
0.854,0.532,0.9556,18.0,4,0.149,6.1,0.543,1
0.517,0.742,1.0123,42.1,6,0.028,3.56,0.385,1
0.334,0.456,0.9821,88.7,2,0.722,6.22,0.206,0
0.745,0.352,0.8897,70.3,5,0.325,4.1,0.307,0
0.645,0.372,0.9956,88.8,3,0.169,7.96,0.134,0
0.386,0.954,0.9939,69.7,2,0.512,9.54,0.338,0
0.135,1.078,0.9025,58.6,3,0.323,2.7,0.312,0
0.722,0.429,0.9746,70.3,3,0.393,5.1,0.166,0
0.286,0.559,0.9722,62.7,4,0.316,7.24,0.322,0
0.893,0.476,1.018,47.1,2,0.004,1.59,0.42,1
0.267,0.324,0.8772,33.4,3,0.688,7.96,0.564,0
0.16,0.798,0.889,51.6,5,0.111,5.83,0.452,0
0.798,0.93,0.9472,30.7,3,0.219,1.5,0.351,1
0.188,0.883,0.8588,48.9,5,0.19,8.68,0.485,0
0.211,0.649,0.9331,21.7,1,0.331,4.27,0.24,0
0.589,0.8,1.0076,55.2,1,0.16,1.77,0.434,1
0.837,0.385,0.8797,29.6,7,0.347,1.95,0.103,1
0.227,0.439,0.942,33.5,4,0.243,7.86,0.136,0
0.329,1.139,1.048,49.9,5,0.061,9.36,0.412,1
0.75,0.985,0.9512,23.0,6,0.871,3.78,0.196,1
0.925,1.13,0.9497,87.0,2,0.306,0.79,0.444,1
0.501,1.125,0.9618,45.8,7,0.095,1.01,0.418,1
0.18,0.884,0.8872,38.2,3,0.522,6.54,0.132,0
0.063,1.135,0.8794,12.3,7,0.123,3.71,0.296,0
0.257,0.675,0.9855,77.5,3,0.773,4.26,0.407,0
0.169,0.303,0.9292,60.1,3,0.062,3.37,0.457,0
0.66,0.356,0.908,43.3,5,0.465,4.66,0.508,1
0.16,0.399,0.8563,29.6,2,0.944,6.44,0.265,0
0.506,0.386,1.0192,69.6,5,0.159,5.41,0.518,0
0.675,0.617,0.8565,85.6,7,0.201,1.64,0.277,0
0.573,0.931,1.0,40.5,5,0.6,4.91,0.103,0
0.23,1.012,0.9264,20.8,1,0.98,4.61,0.405,0
0.774,0.831,0.9697,18.7,5,0.386,5.46,0.221,1
0.694,0.432,0.8995,10.5,1,0.649,1.11,0.162,0
0.715,0.973,0.8811,69.5,1,0.152,1.54,0.229,1
0.168,0.619,0.9567,88.5,2,0.641,5.3,0.514,0
0.161,0.312,0.9891,89.4,3,0.253,2.75,0.557,0
0.885,0.553,0.8891,72.7,1,0.613,6.29,0.581,0
0.408,0.598,0.9373,23.0,1,0.089,3.73,0.251,0
0.321,0.547,0.9389,88.2,6,0.525,2.21,0.328,0
0.49,1.031,0.8932,36.2,4,0.237,6.56,0.501,0
0.647,0.984,0.963,36.7,2,0.682,3.94,0.259,1
0.91,0.926,0.8792,65.0,4,0.748,1.58,0.293,0
0.308,0.425,0.9519,13.9,5,0.848,8.09,0.219,0
0.882,1.027,0.8727,76.1,6,0.992,4.32,0.386,0
0.072,0.909,0.9471,89.8,3,0.459,9.15,0.43,0
0.55,0.475,0.9123,72.0,2,0.671,1.93,0.259,0
0.621,0.883,0.9404,72.5,7,0.018,8.76,0.112,0
0.145,0.735,0.9367,41.2,5,0.905,8.16,0.468,0
0.176,0.695,1.0316,15.3,7,0.616,1.04,0.408,1
0.427,0.401,0.948,73.4,3,0.421,5.32,0.209,0
0.92,0.766,1.0137,57.8,1,0.434,6.54,0.257,0
0.586,0.39,0.8951,82.7,3,0.758,4.95,0.579,0
0.89,0.448,0.9204,19.3,3,0.833,3.9,0.415,0
0.774,0.419,0.865,34.4,6,0.808,9.44,0.398,0
0.471,1.159,0.9341,38.9,6,0.511,7.01,0.42,0
0.756,0.556,0.9837,64.7,1,0.371,9.66,0.577,0
0.066,0.62,1.0176,73.0,5,0.946,8.46,0.27,0
0.148,0.59,0.9632,86.9,3,0.634,8.17,0.24,0
0.796,1.108,0.978,33.6,5,0.544,7.26,0.288,0
0.767,0.807,0.8855,49.5,3,0.598,6.46,0.5,0
0.259,1.127,0.8574,12.3,4,0.63,8.87,0.16,0
0.528,0.57,1.0083,30.2,6,0.713,6.13,0.203,0
0.595,0.403,0.8834,39.9,3,0.553,0.75,0.214,1
0.831,0.801,0.8682,57.5,2,0.875,5.83,0.418,0
0.593,0.611,1.0375,47.7,5,0.86,1.03,0.421,0
0.421,1.022,1.0427,39.2,7,0.442,9.49,0.286,0
0.387,1.091,0.9733,59.9,4,0.169,6.47,0.238,0
0.433,0.725,0.9257,76.3,7,0.577,5.56,0.477,0
0.637,1.174,1.0166,29.3,2,0.621,1.98,0.116,1
0.831,0.798,0.8909,37.4,6,0.523,5.16,0.469,0
0.459,0.544,0.9359,66.4,7,0.891,3.43,0.205,0
0.273,0.74,0.9214,72.2,3,0.093,6.75,0.551,0
0.263,0.334,1.0325,76.0,2,0.287,6.04,0.307,0
0.721,1.024,1.034,26.7,5,0.866,4.99,0.421,1
0.785,0.391,0.9802,53.1,7,0.939,2.53,0.16,0
0.145,0.578,0.8721,82.0,1,0.426,5.26,0.227,0
0.11,0.809,0.9464,41.4,5,0.193,4.62,0.45,0
0.585,0.339,0.8991,44.4,7,0.42,8.51,0.375,0
0.182,0.371,1.027,88.8,1,0.456,8.94,0.485,0
0.792,0.927,0.8777,19.0,4,0.52,7.59,0.382,0
0.329,0.365,0.8609,66.4,1,0.274,3.2,0.385,0
0.179,0.729,0.9909,78.0,2,0.313,0.38,0.529,0
0.879,0.605,0.9407,22.1,4,0.656,9.25,0.312,0
0.199,0.505,1.0177,67.2,3,0.622,9.92,0.548,0
0.306,0.47,0.8649,47.6,1,0.662,1.27,0.286,0
0.188,0.987,1.0102,78.2,6,0.377,6.86,0.264,1
0.154,1.156,0.8575,82.6,2,0.336,4.25,0.49,0
0.069,0.426,0.8556,79.8,7,0.352,1.49,0.106,0
0.1,1.164,0.9423,15.2,2,0.951,9.98,0.186,0
0.207,0.835,0.8943,70.5,4,0.395,9.33,0.136,0
0.098,0.877,0.9687,83.7,6,0.606,9.83,0.356,0
0.582,0.939,0.8552,59.7,4,0.523,1.44,0.414,0
0.663,0.934,0.8571,58.1,3,0.876,4.92,0.105,0
0.404,1.038,0.9954,13.6,6,0.369,8.96,0.181,0
0.336,0.735,0.892,78.5,1,0.434,6.75,0.251,0
0.504,0.78,0.9813,13.7,6,0.843,4.35,0.247,0
0.838,0.591,1.0,35.1,5,0.161,5.17,0.149,1
0.816,0.395,0.8619,84.1,6,0.594,0.39,0.186,0
0.089,0.898,1.004,86.0,3,0.4,6.12,0.524,0
0.213,0.33,0.9037,89.4,3,0.986,8.6,0.45,0
0.263,0.548,0.9279,48.1,5,0.721,0.03,0.248,0
0.274,0.385,0.8673,24.2,5,0.011,1.6,0.232,1
0.564,0.472,1.0177,49.0,7,0.839,5.18,0.14,0
0.425,0.875,0.9621,18.2,7,0.703,5.61,0.274,0
0.094,0.866,0.9509,79.8,1,0.561,3.43,0.299,0
0.386,0.679,1.0437,54.8,2,0.236,0.28,0.552,0
0.521,0.381,0.9169,42.4,7,0.149,7.44,0.472,0
0.142,0.69,1.0282,16.4,3,0.628,2.43,0.34,1
0.8,0.617,0.9939,42.4,5,0.44,6.45,0.167,0
0.097,0.948,1.0357,79.3,1,0.862,5.59,0.428,0
0.882,0.821,1.0316,66.3,1,0.262,4.31,0.568,0
0.139,0.742,1.0482,16.6,3,0.638,5.9,0.139,0
0.809,0.738,0.8763,22.8,6,0.249,6.95,0.524,1
0.862,1.17,1.0092,41.4,6,0.636,5.72,0.19,1
0.932,0.981,1.0109,18.1,7,0.048,5.58,0.451,1
0.772,0.747,0.9789,84.7,2,0.392,4.36,0.192,0
0.752,0.731,0.9058,62.2,2,0.173,4.3,0.4,0
0.628,0.324,1.043,17.6,4,0.606,4.91,0.219,0
0.751,1.148,0.8909,73.0,4,0.317,4.52,0.371,0
0.171,0.587,0.9499,39.5,1,0.772,4.39,0.4,0
0.532,0.53,0.9543,29.6,4,0.115,2.1,0.409,1
0.513,1.199,0.8824,55.6,7,0.556,7.25,0.441,0
0.822,0.947,0.9945,11.1,2,0.594,1.33,0.135,0
0.467,0.343,0.8678,47.2,6,0.022,9.09,0.452,0
0.397,0.356,0.9886,77.5,4,0.036,6.25,0.177,0
0.626,0.323,1.0197,84.2,4,0.308,0.49,0.439,1
0.29,0.84,0.9199,37.4,5,0.609,6.59,0.162,0
0.176,0.364,0.9919,61.4,5,0.963,3.62,0.34,0
0.48,1.14,0.8814,28.1,5,0.091,9.3,0.293,0
0.425,1.143,1.0192,54.8,1,0.703,9.36,0.584,0
0.259,0.791,1.0404,30.3,3,0.693,8.46,0.415,1
0.381,0.855,0.8805,55.7,6,0.669,5.68,0.144,0
0.38,0.563,0.9884,23.7,1,0.516,9.19,0.45,0
0.345,0.358,0.9512,85.3,6,0.967,6.5,0.197,0
0.392,0.964,0.9563,81.0,4,0.502,8.75,0.243,0
0.667,0.392,0.9913,37.0,1,0.838,1.6,0.289,1
0.317,0.377,0.9477,72.1,1,0.263,9.04,0.488,0
0.904,0.58,0.9701,17.6,7,0.806,6.62,0.572,0
0.875,0.311,0.8962,69.2,1,0.997,3.03,0.562,0
0.483,0.691,0.9257,32.6,1,0.91,9.98,0.185,0
0.346,0.937,1.023,20.9,1,0.304,6.87,0.13,0
0.532,1.021,0.872,64.3,5,0.846,9.08,0.514,0
0.814,0.844,0.9695,47.6,7,0.095,0.06,0.244,1
0.637,1.062,0.8869,52.4,2,0.678,5.52,0.391,0
0.774,0.666,1.0193,51.6,6,0.342,7.13,0.589,0
0.529,1.064,0.9658,14.8,6,0.659,0.14,0.193,0
0.62,0.756,0.9306,14.1,2,0.412,7.63,0.287,1
0.309,0.501,0.9,58.1,1,0.009,6.51,0.534,0
0.711,1.15,0.9374,59.9,4,0.231,2.75,0.425,0
0.232,0.547,1.0415,13.8,1,0.042,6.89,0.569,0
0.675,0.324,0.9518,40.3,1,0.427,1.31,0.416,0
0.825,0.518,0.9439,59.0,4,0.84,8.24,0.252,0
0.169,0.63,0.9993,62.5,6,0.738,8.66,0.503,0
0.603,0.616,0.9258,76.3,7,0.789,4.85,0.48,0
0.136,0.772,0.9355,43.7,5,0.807,5.07,0.567,0
0.703,1.095,0.9174,53.9,2,0.372,4.02,0.338,0
0.126,0.563,0.8802,56.3,3,0.506,3.45,0.351,0
0.892,0.769,0.9928,35.0,5,0.508,8.73,0.262,1
0.174,0.606,1.0246,14.3,2,0.113,3.05,0.234,0
0.913,1.04,1.0311,10.3,4,0.598,4.03,0.598,1
0.771,0.442,1.0262,76.9,6,0.72,3.0,0.589,0
0.584,0.393,0.9404,26.0,6,0.611,6.57,0.365,0
0.754,0.753,0.9068,60.4,1,0.746,8.14,0.578,0
0.766,0.905,0.9776,56.2,3,0.119,1.64,0.278,1
0.901,1.016,1.0409,42.0,2,0.761,2.55,0.525,0
0.278,0.831,0.9954,76.7,4,0.208,1.04,0.417,0
0.581,0.996,0.949,65.9,2,0.877,1.6,0.459,0
0.136,0.653,0.9878,11.8,7,0.245,4.07,0.459,0
0.605,0.33,1.0045,72.1,7,0.492,7.76,0.418,0
0.204,0.404,1.0339,50.6,3,0.487,5.42,0.526,0
0.558,0.335,1.0026,37.8,3,0.269,0.53,0.296,0
0.565,0.596,0.9366,68.2,4,0.362,6.25,0.525,0
0.469,0.746,0.9047,64.9,1,0.186,7.95,0.192,0
0.52,0.621,0.95,34.8,7,0.57,3.93,0.2,1
0.738,0.805,0.9156,88.6,6,0.913,2.45,0.459,0
0.769,0.733,1.0386,61.9,3,0.317,7.64,0.475,0
0.493,0.91,0.9516,58.5,4,0.508,0.24,0.551,1
0.59,0.9,0.9444,15.6,3,0.862,8.16,0.237,0
0.888,0.586,0.9196,32.3,2,0.452,8.04,0.128,0
0.158,0.612,0.9779,45.8,3,0.831,8.88,0.354,0
0.155,0.827,0.954,60.5,1,0.446,0.89,0.538,0
0.129,0.837,0.8758,51.0,6,0.44,1.08,0.586,1
0.642,0.583,1.0238,71.0,5,0.157,8.73,0.529,0
0.427,0.597,0.9218,31.0,7,0.125,4.75,0.345,1
0.747,0.925,0.9365,66.2,1,0.611,3.92,0.532,0
0.654,0.883,0.8911,75.3,5,0.827,5.73,0.207,0
0.35,0.422,0.9607,71.2,4,0.135,0.59,0.561,0
0.859,0.697,0.9904,71.7,5,0.91,6.44,0.383,0
0.736,1.103,1.0262,81.1,7,0.359,9.45,0.295,0
0.293,0.333,0.8603,16.7,3,0.425,6.76,0.391,0
0.378,1.07,1.0447,65.8,1,0.894,4.65,0.492,0
0.333,0.447,0.9908,87.5,1,0.896,9.61,0.22,0
0.192,0.757,0.9069,55.9,4,0.525,6.89,0.151,0
0.183,0.682,0.8909,27.4,2,0.277,0.57,0.467,0
0.893,0.309,0.9092,89.9,1,0.172,6.7,0.576,0
0.444,1.124,1.0251,24.0,2,0.272,0.6,0.418,1
0.395,0.709,0.9083,36.8,2,0.781,3.07,0.171,0
0.707,1.159,0.9426,23.8,1,0.325,6.16,0.422,0
0.548,0.558,0.9911,47.2,4,0.695,2.16,0.158,0
0.893,1.08,1.0244,43.5,5,0.195,0.38,0.252,1
0.752,1.13,0.9817,49.3,3,0.479,6.18,0.116,1
0.481,0.801,1.0006,84.2,1,0.352,2.86,0.344,0
0.389,0.482,0.8847,48.3,5,0.504,5.33,0.261,0
0.938,0.917,1.0255,51.2,1,0.57,2.61,0.149,1
0.696,0.794,0.9051,80.9,6,0.991,6.86,0.255,0
0.906,1.15,0.8757,75.4,3,0.9,8.96,0.424,0
0.157,0.695,1.0452,29.2,3,0.696,0.87,0.245,1
0.815,0.542,0.8903,11.0,2,0.154,7.86,0.172,0
0.623,0.424,0.8773,60.4,2,0.919,1.56,0.372,0
0.16,0.929,0.9752,77.6,2,0.893,3.29,0.477,0
0.579,1.177,0.9138,54.2,4,0.887,3.57,0.515,0
0.667,0.326,0.8767,26.9,2,0.479,2.06,0.336,0
0.061,0.966,0.9702,69.3,5,0.171,0.75,0.456,0
0.459,1.134,1.0018,63.6,2,0.754,7.68,0.517,0
0.793,0.367,1.0086,55.2,4,0.389,7.94,0.436,0
0.316,0.399,0.8811,79.1,4,0.345,9.97,0.364,0
0.463,0.923,0.9614,72.7,5,0.391,9.35,0.13,0
0.448,0.883,1.0127,63.4,6,0.559,4.35,0.245,0
0.322,0.362,0.8822,63.2,4,0.334,1.33,0.26,0
0.877,1.051,0.8915,63.0,6,0.69,0.11,0.298,0
0.753,0.771,0.8505,52.0,2,0.648,5.32,0.575,0
0.15,1.116,0.9549,47.1,6,0.509,8.61,0.204,0
0.947,1.09,0.8889,66.8,3,0.054,2.68,0.371,1
0.841,1.031,0.9948,58.8,5,0.937,1.99,0.596,1
0.306,0.764,1.0424,49.2,4,0.412,4.39,0.409,0
0.803,0.527,0.8918,20.1,7,0.449,8.94,0.204,0
0.146,0.755,0.9798,66.2,2,0.456,4.52,0.58,0
0.949,0.391,0.8924,61.7,4,0.365,7.23,0.268,0
0.649,0.893,0.8536,37.4,2,0.675,4.63,0.124,0
0.635,0.421,1.0017,38.5,5,0.014,3.73,0.316,1
0.131,0.76,0.9368,29.7,1,0.874,4.41,0.22,0
0.857,0.349,1.0394,87.0,3,0.102,7.68,0.509,0
0.076,0.57,0.9569,78.8,1,1.0,7.54,0.21,0
0.267,0.509,0.8815,54.9,3,0.628,4.32,0.51,0
0.179,0.858,0.94,42.1,4,0.066,2.68,0.118,1
0.749,1.008,0.8906,68.9,3,0.562,1.39,0.565,1
0.228,0.352,1.0256,52.2,3,0.331,0.01,0.121,0
0.87,1.065,0.9882,88.1,2,0.953,1.13,0.569,0
